address,timeframe,trade_count,wins,losses,wins_usd,losses_usd,volume,profit,win_rate,in_tier,resolved_trades
0x0187633c1a7690976d5b5f0c0fcfb7f9f21d161c,15min,36,26,10,270.68,97.55,283.63,173.13,0.7222,1,36
0x018ae02b2cb299b0f79c5a087ba0ee5145e00be2,hourly,22,7,15,33.93,32.62,168.31,1.3,0.3182,0,22
0x01a4af47afc143627b2a68fe3863fb95b532d2b5,15min,338,158,180,1299.67,614.84,1491.01,684.84,0.4675,0,338
0x01b10cc2508aec3cee7adaabace07da1a9d81bf0,15min,11,5,6,77.52,11.5,69.36,66.02,0.4545,0,11
0x01b9ddafbdb34ecd8a5822aa5baad21e5539e7f8,15min,11,4,7,23.75,1.87,43.74,21.87,0.3636,0,11
0x01bb9f6e30c38cf928a9cc15cc3d8f394ff8cbb0,15min,19,4,15,25.89,12.03,139.32,13.85,0.2105,0,19
0x01c78f8873c0c86d6b6b92ff627e3802237ee995,daily,122,77,33,4268.63,768.43,4129.88,3500.2,0.7,1,110
0x01c92218a840e6b2537b693f972254d673d13bdc,15min,10,4,6,19.43,9.65,32.45,9.78,0.4,0,10
0x01d817962f115ceb2f1ad885fd5946e606efb071,daily,24,9,5,83.28,10.67,121.0,72.61,0.6429,0,14
0x01dc03a3ebaab5fb70a046c66bb618b4c9a51839,daily,11,2,9,36.5,38.45,201.2,-1.94,0.1818,0,11
0x01dc03a3ebaab5fb70a046c66bb618b4c9a51839,monthly,16,0,0,0.0,0.0,309.71,0.0,0.0,0,0
0x01e3ef542bf1212bee744c83b478d8edd246b10d,15min,37,3,34,16.61,2.4,178.85,14.21,0.0811,0,37
0x01f80c027eaa1cae228794cfc91d8b52dc12ee2d,monthly,23,15,1,1808.17,50.65,7171.58,1757.51,0.9375,1,16
0x01f8bee18c0367462e3ef49d3448793fb2036de5,daily,19,0,7,0.0,0.12,12.68,-0.12,0.0,0,7
0x02024d012ff2366b65e4c6941f5a7bcdb11055b0,hourly,38,19,19,223.24,143.94,494.71,79.3,0.5,0,38
0x0205eb580f6a468b49bd700f6c2358da2b8c6706,15min,134,66,68,298.34,232.17,523.91,66.17,0.4925,0,134
0x021a4845ebe8ee0563c3ab07bb17afa4034287ae,15min,140,78,62,486.42,585.65,1796.9,-99.24,0.5571,0,140
0x021a4845ebe8ee0563c3ab07bb17afa4034287ae,hourly,148,62,86,1652.22,958.06,3412.85,694.16,0.4189,0,148
0x0227ad1e6c7cb164f1879bd391c1b8d93b781465,monthly,10,1,1,1.6,1.0,35.06,0.6,0.5,0,2
0x0241dbe922670f1db50d728e19ec33b578418976,hourly,15,0,15,0.0,46.88,91.16,-46.88,0.0,0,15
0x024336681aa7caa39a55c5187939c0159400f72c,daily,11,2,9,116.83,5.31,625.27,111.52,0.1818,0,11
0x02444d18b9fe9f9e9d2769e411718f6081c44f83,15min,24,17,7,116.38,30.1,87.79,86.28,0.7083,1,24
0x02468cc0b83a3d1ef1982b47d09c94a11474c1e4,15min,12,6,6,17.18,16.16,40.07,1.02,0.5,0,12
0x0247aba898420d81ae413e08f169e4b4574dbb07,15min,10,7,3,16.5,76.97,98.77,-60.47,0.7,0,10
0x024a42238e92282e2425ce9ec572d626f47b41ee,hourly,23,3,20,57.08,5.8,197.74,51.29,0.1304,0,23
0x024b7270ee9c0fc0de2e00a979d146255e0e9c00,15min,66,54,12,679.16,127.61,1022.96,551.55,0.8182,1,66
0x0253166a4eaa8b6d00d86973747efab7b21458d3,15min,125,66,59,309.59,161.13,445.4,148.46,0.528,0,125
0x02571ed3bfa4162c80b288310745503275a822b2,daily,10,4,6,367.29,136.1,707.76,231.19,0.4,0,10
0x025c2962d3dde0bf9d0a86dc63660e81905be60e,15min,12,6,6,134.0,102.63,349.59,31.37,0.5,0,12
0x026065154ab5186ded40cc19ba6cfd2f76160261,daily,10,5,5,42.63,17.31,282.29,25.32,0.5,0,10
0x0260b195427def586abec8ec55afe1fe757f9a1d,monthly,43,0,0,0.0,0.0,956.84,0.0,0.0,0,0
0x026749dcdfe3013a3dc5f9c5958ea5e36ec3ad43,15min,12,7,5,26.95,1.94,30.9,25.01,0.5833,0,12
0x026a806fdfe0e4694ebd929792bd5ba7775ac9c3,15min,16,10,6,17.53,2.97,24.23,14.56,0.625,0,16
