address,total_net_pnl_usd,num_tokens,win_tokens,loss_tokens,win_rate,best_timeframe,tf_win_rate
0xcae5acf7b3252add2efe9c8b5eb3e3fde2a26e29,"+22,933.11",3,3,0,1.00,monthly,0.96
0xb96dc5001b9076b25386d9c48db81e3087a24179,"+22,749.54",4,3,1,0.75,daily,0.82
0xd5795f725077461c86a1f9ea9b979b7b51a60ad3,"+22,645.00",6,4,2,0.67,-,-
0x0c942d6962409e373d5b4a8a3f5abc96434a04b6,"+22,485.96",1,1,0,1.00,-,-
0xdbade4c82fb72780a0db9a38f821d8671aba9c95,"+21,439.71",1,1,0,1.00,monthly,1.00
0x45bc74efa620b45c02308acaecdff1f7c06f978b,"+20,925.28",16,14,2,0.88,hourly,0.93
0x504a37d960473c14e412a502dc85ada0b34eebd9,"+20,800.00",2,2,0,1.00,-,-
0x33e880a2aa3f3daf85233942026cd39de00f5692,"+20,500.00",2,2,0,1.00,-,-
0x7f2167369335c4ad8bbad996a7cf1502d025691d,"+20,500.00",2,2,0,1.00,-,-
0x14333d20e95f39472970d2feff6c9c4c16fd56a0,"+20,424.36",3,2,1,0.67,daily,0.96
0xc7081869e11f855da306dd2a47999c6e4a74e6eb,"+20,386.98",4,2,2,0.50,hourly,0.73
0x8a1e5f7f1381ed912feefac36bd8bbd93a26d2dd,"+19,985.23",1,1,0,1.00,-,-
0x0fefcd6177b96a424cd61a34f7d647e52ee1e912,"+19,600.00",5,4,1,0.80,-,-
0x19a0147034743b04ee2b57d6e526efc3af33ac39,"+19,065.48",35,23,12,0.66,daily,0.54
0x9f053c597d80780e09cad5087b0d687614bf8937,"+19,059.35",4,4,0,1.00,daily,1.00
0xba264376d6fef08f23a44db4153d12d47f5f23c9,"+18,951.47",49,49,0,1.00,15min,1.00
0x906fd5683ec51f215164f55b06bbee2b0f1288b4,"+18,944.91",3,1,2,0.33,daily,0.56
0xdbeb4700afafa474e8e44b85628d317596cbaa45,"+18,550.00",2,2,0,1.00,-,-
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,"+18,545.47",159,104,55,0.65,15min,0.61
0xb2a3bf58e527714ffa8e4de52218186cd658e321,"+18,457.76",3,3,0,1.00,daily,1.00
0xa99cf96422de8188bc42ad8fc2a98e04d37f9d77,"+18,181.00",5,5,0,1.00,-,-
0x5af704ea37895b87568067ffc0a3cf34924df91f,"+18,181.00",5,5,0,1.00,-,-
0x44c56f946923958b4a382f464ae5c50eb3f62c91,"+18,135.00",6,4,2,0.67,-,-
0x4499980278b0d3976355819cb6d2b17ae5247c03,"+18,033.00",8,6,2,0.75,-,-
0x6f47b00682447f7106ae4b258bf9e62f63656a26,"+18,033.00",8,6,2,0.75,-,-
0x6af52598ec28938870dcda398c0f7e05441a42ce,"+17,947.85",4,2,2,0.50,daily,0.59
0x7635ed586336bc7246b39cd416ed17e4858963f6,"+17,865.77",2,1,1,0.50,daily,0.82
0xe7a2052a8b7c6b865e3eb3d16300a4db7432ae70,"+17,860.38",4,2,2,0.50,daily,0.23
0x557b3ae0788c5075bf9b683349dbeb9f078ab4fa,"+17,850.00",2,2,0,1.00,-,-
0x407deefe1d6421d4cebc7c7633c0fbda58a18db6,"+17,540.00",2,2,0,1.00,-,-
0x79e505336f5f5e252378d121b7236828af9c9417,"+17,433.16",9,6,3,0.67,daily,0.53
0x57a8d63731277200ed26cfde9a8a830d94f36933,"+17,022.66",2,1,1,0.50,daily,0.89
0x9055a9e36aa73274e3a92dc2dbb081bb4d9e756a,"+16,843.41",3,3,0,1.00,daily,0.65
0x0deb9e991ba00eb3b398e39e786a94a1db839b0f,"+16,819.97",4,4,0,1.00,15min,0.82
0x07b8e44b90cc3e91b8d5fe60ea810d2534638e25,"+16,718.47",3,2,1,0.67,daily,0.27
0xead152b855effa6b5b5837f53b24c0756830c76a,"+16,486.24",10,7,3,0.70,daily,0.72
0x926df8dd0519e7408636170f3a02989c4e75635e,"+16,472.40",1,1,0,1.00,monthly,0.64
0xe8a8cc8877e2af6712174d2d2e8745f4f32ea48e,"+16,276.77",1,1,0,1.00,daily,1.00
0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,"+16,055.70",1,1,0,1.00,-,-
0xa49becb692927d455924583b5e3e5788246f4c40,"+15,972.64",4,2,2,0.50,daily,0.64
0xb3959115f8f8b84a00f411fa5ad03c7b09d0fa48,"+15,900.00",2,2,0,1.00,-,-
0xf1f4d313795218b1c3bc72cd3f05dcf076fc544c,"+15,786.53",2,2,0,1.00,daily,0.93
0x14964aefa2cd7caff7878b3820a690a03c5aa429,"+15,738.08",1,1,0,1.00,daily,1.00
0x600dda5fb90bcf0fbd3c99129cfb64db8a588e2d,"+15,419.00",8,6,2,0.75,-,-
0xba7829eec171a9b65a2763d730897b616406d462,"+15,391.00",8,5,2,0.62,hourly,0.60
0x0589b109066e910b58750b62d0603f96bb7eb97e,"+15,350.00",2,2,0,1.00,-,-
0x79657b8b866efdf8509428b77402820a9fbd361b,"+15,005.00",5,4,1,0.80,-,-
0x1b299ca14a6c6a527283d7d2df56414f6abd865e,"+14,354.56",15,6,9,0.40,daily,0.93
0x9a5696cdacf5b3302351e35634e8f7918e2cae1f,"+14,000.00",2,2,0,1.00,-,-
0x6e82b93eb57b01a63027bd0c6d2f3f04934a752c,"+13,893.84",1,1,0,1.00,daily,0.83
0x8c0b024c17831a0dde038547b7e791ae6a0d7aa5,"+13,827.52",2,2,0,1.00,daily,0.78
0xfbcab661183eb79651d32e410539fed3396c3b1e,"+13,651.67",2,2,0,1.00,daily,0.29
0xa21e3a6cba891db2bc84ffde0780731d67b67c5e,"+13,500.00",5,4,1,0.80,-,-
0xe79547fad69ab28a48a49c6424975abc3cef8cae,"+13,460.29",7,5,2,0.71,daily,0.50
